,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,connected 2-in-a-row drop rate,unconnected 2-in-a-row drop rate,3-in-a-row drop rate,4-in-a-row drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
114,0.1,0.0054997,0.02111,0.50002,0.40002,1.5555,0.30002,3.7091,14.444,0.20001,0.253,0.17522,0.1428,1.8091900000000003,Type-dependent dropping,human-vs-human,23,5,,
115,4.9671,0.0050892,0.019777,1.0098,0.35986,0.93031,0.30725,2.5195,-135.09,0.19929,0.24115,0.39211,0.20446,2.33865,Type-dependent dropping,human-vs-human,24,1,,
116,4.1302,0.001,0.2119,0.25,0.4,1.0,0.2873,5.963,-21.852,0.21667,0.21313,0.20584,0.17094,2.5982399999999997,Type-dependent dropping,human-vs-human,24,2,,
117,10.0,0.0099477,0.020863,2.1532,0.1526,0.88639,0.94437,2.4962,-274.61,0.15971,0.17892,0.24358,0.19098,2.4419200000000005,Type-dependent dropping,human-vs-human,24,3,,
118,8.6187,0.015871,0.021521,0.25,-0.24196,1.3333,0.58103,4.4198,-2167.5,0.2,0.15113,0.18921,0.1979,2.68288,Type-dependent dropping,human-vs-human,24,4,,
119,3.0,0.012616,0.38809,1.1667,0.62406,0.55205,0.5,2.6667,-150.0,0.2,0.2,0.094444,0.2,2.8116299999999996,Type-dependent dropping,human-vs-human,24,5,,
120,4.6313,0.001,0.02045,0.25,0.40741,1.2064,2.2427,2.7222,16.016,0.14921,0.12267,0.24921,0.14921,1.6439800000000002,Type-dependent dropping,human-vs-human,25,1,,
121,5.6341,0.001,0.045947,1.1395,0.84698,0.62524,0.82963,2.6532,15.0,0.29546,0.2,0.19095,0.27037,3.2795699999999997,Type-dependent dropping,human-vs-human,25,2,,
122,0.84053,0.001,0.01,0.25,0.67681,0.53045,0.25881,3.3333,15.0,0.16667,0.2,0.2,0.25376,1.88165,Type-dependent dropping,human-vs-human,25,3,,
123,1.9551,0.001,0.017639,0.5304,0.67259,0.93367,1.6786,3.6318,30.0,0.26355,0.19835,0.20055,0.2,2.19712,Type-dependent dropping,human-vs-human,25,4,,
124,2.163,0.019729,0.014347,0.92213,0.58023,0.70988,0.50119,2.0555,12.21,0.2006,0.20001,0.22591,0.22144,1.96057,Type-dependent dropping,human-vs-human,25,5,,
125,0.63379,0.007,0.023666,0.5,0.79587,0.87556,0.3,4.2222,15.556,0.2,0.22222,0.16667,0.2,1.6808,Type-dependent dropping,human-vs-human,26,1,,
126,1.8995,0.0061041,0.016667,1.0,0.80002,0.80002,0.30002,2.7777,10.0,0.18888,0.13333,0.26666,0.15741,1.4965199999999999,Type-dependent dropping,human-vs-human,26,2,,
127,2.4912,0.005,0.02,0.55324,0.8,0.63885,0.3,2.5,15.0,0.2,0.2,0.2,0.2,2.3187699999999998,Type-dependent dropping,human-vs-human,26,3,,
128,0.1,0.013664,0.020002,0.85198,0.80011,0.62371,0.29992,2.4801,15.001,0.17528,0.20005,0.20005,0.0,2.19145,Type-dependent dropping,human-vs-human,26,4,,
129,5.0,0.005,0.03,0.5,1.0,1.0,0.3,2.5,15.0,0.3,0.2,0.2,0.2,2.1519199999999996,Type-dependent dropping,human-vs-human,26,5,,
130,5.0,0.001,0.049264,0.35494,0.54061,1.0,-0.039324,3.5,15.0,0.2,0.2,0.2,0.2,1.9147299999999998,Type-dependent dropping,human-vs-human,27,1,,
131,3.0,0.001,0.021139,0.66066,0.4,0.97625,0.3,3.5,15.0,0.2,0.16667,0.2,0.2,1.3435700000000002,Type-dependent dropping,human-vs-human,27,2,,
132,5.0,0.001,0.035658,1.0,0.8,1.0,0.3,2.5,15.0,0.2,0.2,0.21111,0.21518,1.230661,Type-dependent dropping,human-vs-human,27,3,,
133,7.5428,0.001,0.017687,0.90002,0.8,0.73134,0.3,2.5,15.0,0.2,0.18889,0.22276,0.2,2.97994,Type-dependent dropping,human-vs-human,27,4,,
134,3.2702,0.001,0.01,1.0103,0.78429,1.0118,0.2722,2.4694,13.807,0.41738,0.31049,0.26326,0.20486,2.54082,Type-dependent dropping,human-vs-human,27,5,,
135,10.0,0.001,0.04,1.0,0.8,1.3333,0.3,2.5,20.0,0.2,0.2,0.2,0.2,1.8139999999999996,Type-dependent dropping,human-vs-human,28,1,,
136,5.7935,0.0017099,0.02,0.5,0.85517,1.5549,1.0,3.6027,20.0,0.2,0.2,0.2,0.2,1.84999,Type-dependent dropping,human-vs-human,28,2,,
137,8.8546,0.001,0.01,1.0001,0.70201,1.0002,0.30015,2.5,15.002,0.15773,0.083295,0.20009,0.21118,0.9689539999999999,Type-dependent dropping,human-vs-human,28,3,,
138,6.8039,0.0013312,0.01,0.47222,1.0,1.5,-0.12475,2.6852,15.0,0.2,0.15544,0.2,0.1792,2.06879,Type-dependent dropping,human-vs-human,28,4,,
139,4.9997,0.001,0.019998,0.66156,1.0667,1.0001,0.40006,5.0002,14.999,0.19997,0.1667,0.20003,0.1667,1.41239,Type-dependent dropping,human-vs-human,28,5,,
140,3.064,0.0076563,0.021961,1.2133,0.50246,0.70136,0.4872,2.1911,12.124,0.258,0.14567,0.27129,0.27295,2.6093,Type-dependent dropping,human-vs-human,29,1,,
141,6.425,0.021941,0.01,1.0,0.47619,0.81076,0.3,2.5,-53.488,0.2,0.2,0.2,0.2,2.46211,Type-dependent dropping,human-vs-human,29,2,,
142,3.046,0.011414,0.029735,0.25,0.33512,1.3662,-0.0088386,2.4972,10.838,0.20504,0.25489,0.1963,0.1963,2.5043,Type-dependent dropping,human-vs-human,29,3,,
