,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
201,0.3504,0.013616,0.84028,1.0,1.3333,0.66667,4.6667,20.0,1.33498,No tree,generalization,1,2,,
202,0.26337,0.014541,0.78392,1.2607,1.2398,0.88392,4.2292,19.095,1.57873,No tree,generalization,1,3,,
203,0.28896,0.029993,0.83515,0.90318,1.3332,0.33017,4.6672,22.22,1.82224,No tree,generalization,1,4,,
204,0.29114,0.01,0.76078,1.1314,1.6919,1.1877,6.2298,24.442,1.6427500000000002,No tree,generalization,1,5,,
205,0.1,0.02,0.28095,1.5057,2.0,0.4,7.0,-105.81,1.5056100000000001,No tree,generalization,2,1,,
206,0.029612,0.02,0.25,1.0,1.1439,0.4,5.0323,30.0,1.47808,No tree,generalization,2,2,,
207,0.0,0.021806,0.35492,1.2827,1.4482,0.36677,5.0357,0.42481,1.0305360000000001,No tree,generalization,2,3,,
208,0.0,0.019739,0.25,1.6043,1.4645,0.3077,4.7354,40.321,1.3741499999999998,No tree,generalization,2,4,,
209,0.0,0.01,0.3839,1.108,1.2952,1.6121,4.6863,5.9741,1.044025,No tree,generalization,2,5,,
210,0.1,0.01,0.27778,0.22371,1.0667,0.33333,5.3205,-135.0,1.9703200000000003,No tree,generalization,3,1,,
211,0.0,0.01,0.41312,0.1926,0.90142,0.40362,3.4739,10.078,2.10274,No tree,generalization,3,2,,
